Target Hero Keyword,Hero Volume,Page Type,Current / New Page,SC Current Position,Winnability,Realistic Traffic /mo,Plan Status,Page to Beat,Page to Beat Rank
what is split king bedding,3600,New,https://sundaycitizen.co/collections/split-king-bedding,,high,432,Whitespace — plan new page,,none of the 5 rank top 7
set comforter queen,40500,New,https://sundaycitizen.co/collections/queen-comforter,,low,364,Beat competitor,https://latestbedding.com/collections/comforter-sets,#1 latestbedding.com (for 'queen comforter sets')
queen comforter set with sheets,40500,New,https://sundaycitizen.co/collections/queen-sheets,,low,364,Beat competitor,https://latestbedding.com/collections/comforter-sets,#3 latestbedding.com (for 'queen bedding set with sheets')
tencel sheets,8100,Existing,https://sundaycitizen.co/collections/silky-lyocell-sheets,,medium,364,Whitespace — plan new page,,none of the 5 rank top 7
cotton material for quilts,8100,New,https://sundaycitizen.co/collections/cotton-quilt,,medium,364,Whitespace — plan new page,,none of the 5 rank top 7
queen blanket sets,40500,New,https://sundaycitizen.co/collections/queen-blanket,,low,364,Beat competitor,https://latestbedding.com/collections/comforter-sets,#2 latestbedding.com (for 'blanket set for queen')
throw blankets oversized,8100,New,https://sundaycitizen.co/collections/oversized-throw,,medium,364,Whitespace — plan new page,,none of the 5 rank top 7
bedspread sets queen,40500,New,https://sundaycitizen.co/collections/queen-bedspread,,low,364,Beat competitor,https://latestbedding.com/collections/red-bedding,#4 latestbedding.com (for 'queen bedspread red')
queen size quilts,8100,New,https://sundaycitizen.co/collections/queen-quilt,,medium,364,Beat competitor,https://www.potterybarn.com/shop/bedding/queen+quilts-shams/beddingsize-m-size-ff000c13-1/,#4 potterybarn.com (for 'queen size quilt')
tencel bedding sets,8100,New,https://sundaycitizen.co/collections/lyocell-bedding,,medium,364,Whitespace — plan new page,,none of the 5 rank top 7
breathable bedding set,8100,New,https://sundaycitizen.co/collections/breathable-bedding,,medium,364,Beat competitor,https://www.brooklinen.com/pages/cooling,#6 brooklinen.com (for 'breathable bedding for hot sleepers')
quilted blankets,8100,New,https://sundaycitizen.co/collections/quilted-blanket,,medium,364,Beat competitor,https://www.brooklinen.com/collections/quilts-bed-blankets,#4 brooklinen.com (for 'blanket quilted')
luxury throw blankets,2900,New,https://sundaycitizen.co/collections/luxury-throw,,high,348,Whitespace — plan new page,,none of the 5 rank top 7
towel stripe,2900,New,https://sundaycitizen.co/collections/striped-towel,,high,348,Beat competitor,https://us.pigletinbed.com/collections/stripe-towels,#2 us.pigletinbed.com (for 'striped towels')
quilt velvet,2900,New,https://sundaycitizen.co/collections/velvet-quilt,,high,348,Beat competitor,https://www.potterybarn.com/shop/bedding/king+velvet-bedding-shop/beddingsize-m-size-ff000b12-1/,#7 potterybarn.com (for 'velvet king quilt')
linen quilts,2900,New,https://sundaycitizen.co/collections/linen-quilt,,high,348,Beat competitor,https://www.brooklinen.com/collections/quilts-bed-blankets,#5 brooklinen.com (for 'linen quilts')
cotton pillow shams,2900,New,https://sundaycitizen.co/collections/cotton-sham,,high,348,Whitespace — plan new page,,none of the 5 rank top 7
luxury robes for women,2900,New,https://sundaycitizen.co/collections/luxury-robe,,high,348,Whitespace — plan new page,,none of the 5 rank top 7
silk blanket,2900,New,https://sundaycitizen.co/collections/silk-blanket,,high,348,Whitespace — plan new page,,none of the 5 rank top 7
embroidered towels,2900,New,https://sundaycitizen.co/collections/embroidered-towel,,high,348,Whitespace — plan new page,,none of the 5 rank top 7
sateen sheets,6600,New,https://sundaycitizen.co/collections/sateen-sheets,,medium,297,Beat competitor,https://www.brooklinen.com/collections/luxe-sateen-sheets,#2 brooklinen.com (for 'sateen sheet')
weighted blanket cooling,6600,New,https://sundaycitizen.co/collections/cooling-weighted-blanket,,medium,297,Whitespace — plan new page,,none of the 5 rank top 7
cotton bathrobes,6600,New,https://sundaycitizen.co/collections/cotton-bath-robe,,medium,297,Beat competitor,https://www.brooklinen.com/products/super-plush-robe,#6 brooklinen.com (for 'cotton bathrobes')
pillow cotton cover,6600,Existing,https://sundaycitizen.co/collections/cotton-pillows,,medium,297,Whitespace — plan new page,,none of the 5 rank top 7
striped duvet cover,6600,New,https://sundaycitizen.co/collections/striped-duvet-cover,,medium,297,Beat competitor,https://us.pigletinbed.com/collections/striped-bedding,#3 us.pigletinbed.com (for 'striped duvet cover')
king size pillowcases,6600,New,https://sundaycitizen.co/collections/king-pillowcase,,medium,297,Beat competitor,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,#3 us.pigletinbed.com (for 'king pillowcase size')
twin z pillow,6600,New,https://sundaycitizen.co/collections/twin-pillow,,medium,297,Whitespace — plan new page,,none of the 5 rank top 7
bamboo cooling blanket,6600,New,https://sundaycitizen.co/collections/bamboo-blanket,,medium,297,Whitespace — plan new page,,none of the 5 rank top 7
linen duvet,2400,New,https://sundaycitizen.co/collections/linen-duvet,,high,288,Beat competitor,https://us.pigletinbed.com/collections/duvet-covers,#2 us.pigletinbed.com (for 'linen duvet')
duvet covers bamboo,2400,New,https://sundaycitizen.co/collections/bamboo-duvet-cover,,high,288,Whitespace — plan new page,,none of the 5 rank top 7
silk rugs,2400,New,https://sundaycitizen.co/collections/silk-rug,,high,288,Whitespace — plan new page,,none of the 5 rank top 7
decorative pillow sizes,2400,New,https://sundaycitizen.co/pages/throw-pillow-size-guide,,high,288,Whitespace — plan new page,,none of the 5 rank top 7
fur faux throw,27100,Existing,https://sundaycitizen.co/collections/faux-fur,,low,244,Beat competitor,https://www.potterybarn.com/shop/accessories-decor/faux-fur-throws/,#3 potterybarn.com (for 'faux fur throws')
oversized blanket hoodie,5400,New,https://sundaycitizen.co/collections/oversized-blanket,,medium,243,Whitespace — plan new page,,none of the 5 rank top 7
