keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
antique thermometer barometer hygrometer,6,9,50,1.7,0,0.20000000298023224,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2026-04-12 16:47:52 +00:00
jardin couture,6,7,50,1.7,0,3.2899999618530273,informational,https://wassersfurniture.com/shop-by-brand/a-c/couture-jardin.html,legacy .html,False,2026-03-08 14:10:00 +00:00
sonos play 1 specifications,6,8,50,1.7,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-04-07 19:01:17 +00:00
sonos play 3 specs,6,10,40,1.7,0,0.7200000286102295,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-10 12:19:47 +00:00
sonos play:3 specs,6,10,40,1.7,0,0.7200000286102295,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-10 12:19:46 +00:00
american leather outlet,8,9,70,1.4,0,1.1100000143051147,navigational,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-03-26 04:08:33 +00:00
tempur cloud supreme breeze mattress,8,11,50,1.4,0,3.3600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:36:52 +00:00
costantini pietro chairs,6,9,40,1.4,0,0.75,navigational,https://wassersfurniture.com/costantini-pietro-charm-dining-chairs-set-of-4-in-stock.html,legacy .html,False,2026-04-12 04:59:20 +00:00
crocodile dining chairs,6,10,40,1.4,0,0.8799999952316284,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-03-27 13:02:41 +00:00
romina imperio crib,6,7,40,1.4,0,4.949999809265137,navigational,https://wassersfurniture.com/romina-furniture-imperio-convertible-crib-open-back.html,legacy .html,False,2026-03-08 07:25:49 +00:00
marine coffee table,5,7,30,1.4,0,1.6299999952316284,transactional,https://wassersfurniture.com/pavoncello-whereisit-collection-onde-marine-coffee-table.html,legacy .html,False,2026-04-18 03:17:54 +00:00
sonos connect amp speakers,5,7,30,1.4,0,0.6100000143051147,transactional,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-28 04:21:22 +00:00
wings coffee table,5,8,30,1.4,0,6.340000152587891,transactional,https://wassersfurniture.com/dia-design-institute-of-america-wings-coffee-table-370-07.html,legacy .html,False,2026-03-10 11:42:34 +00:00
sonneman floor lamp vintage,6,9,30,1.4,0,0.009999999776482582,transactional,https://wassersfurniture.com/vintage-sonneman-floor-lamp.html,legacy .html,False,2026-04-13 14:35:33 +00:00
dreamweaver pebble rug,9,12,20,1.4,0,0.44999998807907104,transactional,https://wassersfurniture.com/dreamweavers-shimmer-pebble-platinum-white-in-stock-ready-to-ship.html,legacy .html,False,2026-03-22 08:15:49 +00:00
monte daybed,7,10,50,1.3,0,1.940000057220459,transactional,https://wassersfurniture.com/monte-design-twin-daybed-sofa.html,legacy .html,False,2026-03-08 10:47:07 +00:00
