keyword,search_volume,expected_traffic_pos3,cpc,keyword_difficulty,competitors_ranking,competitor_list,sc_current_position,theme,sc_product_line,recommended_action,target_page_type,target_handle_or_url,target_page_title
linen for bed sheets,60500,6050,4.25,,3,"brooklinen.com,pigletinbed.com,sc-material",,linen / sheets,European Flax Linacel,optimize existing,collection,/collections/linacel-collection,European Flax Linacel™
pillowcase silk,60500,6050,5.46,,2,"brooklinen.com,parachutehome.com",,silk / pillowcase,Ecosilk / Silky Lyocell,build new collection,collection,/collections/silk-pillowcase,Silk Pillowcase
linen sheets,60500,6050,4.25,,3,"brooklinen.com,pigletinbed.com,sc-material",,linen / sheets,European Flax Linacel,optimize existing,collection,/collections/linacel-collection,European Flax Linacel™
bath rug,60500,6050,1.1,,2,"brooklinen.com,parachutehome.com",,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
bath rugs,60500,6050,1.1,,1,brooklinen.com,,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
bath rugs for bathroom,60500,6050,1.1,,1,brooklinen.com,,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
bathroom carpet rugs,60500,6050,1.1,,2,"brooklinen.com,potterybarn.com",,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
bathroom rug,60500,6050,1.1,,1,brooklinen.com,,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
bathroom rugs,60500,6050,1.1,1,1,brooklinen.com,,rug,"— (category page, all fabrics)",optimize existing,collection,/collections/rugs,Rugs
comforter set,60500,6050,1.12,2,2,"brooklinen.com,potterybarn.com",,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
comforter sets,60500,6050,1.12,,2,"brooklinen.com,latestbedding.com",,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
comforters and sets,60500,6050,1.12,,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
pillow and throws,60500,6050,1.16,,2,"parachutehome.com,potterybarn.com",,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
throws and pillows,60500,6050,1.16,,1,potterybarn.com,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
side sleeper pillow,60500,6050,2.15,,2,"expansion,tempurpedic.com",,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
best sleeping pillow for side sleepers,60500,6050,3.11,1,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
