domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
western-linens.com,brand/retail,8,6153,0.03,13.1,3.1
shoplerose.com,brand/retail,26,6075,0.03,14.4,11.8
kashwere.com,brand/retail,16,6060,0.03,27.0,2.7
sheetsgiggles.com,brand/retail,1,6048,0.03,19.0,0.1
annieselke.com,brand/retail,84,6025,0.03,20.3,16.5
dreamfit.com,brand/retail,35,6018,0.03,21.8,8.2
hartlandquiltshop.square.site,brand/retail,4,5995,0.03,20.8,0.7
reelpaper.com,brand/retail,8,5989,0.03,8.4,3.9
webmd.com,publisher,50,5935,0.03,18.2,5.6
gap.com,brand/retail,88,5933,0.03,17.7,22.2
badesofa.com,brand/retail,3,5898,0.03,1.0,3.0
contoursbaby.com,brand/retail,2,5896,0.03,7.0,0.9
quilterscandy.com,brand/retail,11,5881,0.03,9.1,6.1
qovf.org,brand/retail,3,5836,0.03,8.0,1.4
sweetjojodesigns.com,brand/retail,21,5800,0.03,20.6,4.7
thequiltkitco.com,brand/retail,13,5799,0.03,20.6,4.2
caregiverproducts.com,brand/retail,16,5791,0.03,11.2,6.7
anntaylor.com,brand/retail,127,5789,0.03,26.0,18.2
hamvay-lang.com,brand/retail,11,5768,0.03,11.8,6.2
doityourself.com,brand/retail,12,5766,0.03,33.8,1.4
babylock.com,brand/retail,7,5762,0.03,12.0,2.3
brownhealth.org,brand/retail,3,5719,0.03,7.0,1.4
nestl.com,brand/retail,14,5674,0.03,14.1,2.8
global.llbean.com,brand/retail,7,5674,0.03,2.4,6.0
apartmenttherapy.com,publisher,230,5657,0.03,29.7,15.8
jlifeinternational.com,brand/retail,4,5637,0.03,12.0,1.7
southernliving.com,brand/retail,116,5622,0.03,32.0,9.1
rei.com,brand/retail,54,5587,0.03,23.5,9.0
worksheetworks.com,brand/retail,8,5573,0.03,4.4,6.0
cabeau.com,brand/retail,10,5572,0.03,9.9,3.4
eucalypsohome.com,brand/retail,4,5570,0.03,9.0,2.5
bassettfurniture.com,brand/retail,12,5557,0.03,8.5,7.6
kennyflowers.com,brand/retail,32,5553,0.03,13.0,15.8
astrthelabel.com,brand/retail,32,5547,0.03,16.7,9.6
ynmhome.com,brand/retail,25,5534,0.03,16.4,10.8
linennaive.com,brand/retail,33,5522,0.03,17.2,10.1
